phi the  : 1274
harm .  : 6
head silently  : 2
silently .  : 2
as they  : 73
they pressed  : 1
pressed her  : 3
her further  : 1
further with  : 1
with questions  : 1
questions ,  : 4
, she  : 228
threw them  : 6
them the  : 11
the golden  : 39
golden chain  : 1
chain from  : 1
her neck  : 11
neck .  : 11
not leave  : 5
leave off  : 6
them her  : 2
her girdle  : 1
girdle ,  : 1
when this  : 5
this was  : 66
was no  : 70
no use  : 24
use ,  : 8
, her  : 28
her garters  : 1
garters ,  : 1
then her  : 5
her dress  : 9
dress .  : 11
the huntsmen  : 1
huntsmen would  : 1
would not  : 88
leave her  : 3
her alone  : 1
but climbed  : 1
climbed the  : 4
, lifted  : 4
maiden down  : 1
down ,  : 74
and led  : 9
led her  : 5
her to  : 70
king asked  : 2
what are  : 28
you doing  : 4
doing up  : 1
up that  : 4
that tree  : 3
tree ?  : 2
answered nothing  : 1
nothing .  : 20
he asked  : 28
asked her  : 21
her in  : 39
in all  : 40
all the  : 359
the languages  : 1
languages he  : 1
he knew  : 70
knew ,  : 6
she remained  : 3
remained as  : 1
as dumb  : 1
dumb as  : 2
as a  : 109
a fish  : 5
fish .  : 4
phi because  : 5
because she  : 15
beautiful ,  : 22
, however  : 43
however ,  : 68
king 's  : 78
's heart  : 24
heart was  : 10
was touched  : 1
touched ,  : 1
was seized  : 2
seized with  : 1
love for  : 3
he wrapped  : 3
wrapped her  : 3
her up  : 9
up in  : 63
his cloak  : 2
cloak ,  : 4
, placed  : 3
placed her  : 2
her before  : 3
him on  : 29
on his  : 153
horse ,  : 27
and brought  : 20
brought her  : 4
his castle  : 1
castle .  : 19
phi there  : 214
there he  : 31
had her  : 14
her dressed  : 1
dressed in  : 15
in rich  : 1
rich clothes  : 1
clothes ,  : 16
and her  : 75
her beauty  : 3
beauty shone  : 1
shone out  : 1
out as  : 8
as bright  : 1
bright as  : 2
as day  : 4
a word  : 37
word could  : 1
be drawn  : 1
drawn from  : 1
he set  : 13
set her  : 6
her at  : 10
at table  : 4
table by  : 1
his side  : 12
side ,  : 24
her modest  : 1
modest ways  : 1
ways and  : 6
and behaviour  : 1
behaviour pleased  : 1
pleased him  : 5
him so  : 11
much that  : 10
will marry  : 4
marry this  : 1
this maiden  : 1
maiden and  : 1
and none  : 4
none other  : 3
other in  : 9
and after  : 37
after some  : 9
some days  : 4
days he  : 5
he married  : 7
married her  : 3
a wicked  : 14
wicked mother  : 3
mother who  : 2
who was  : 113
was displeased  : 1
displeased with  : 2
with the  : 327
the marriage  : 4
marriage ,  : 7
said wicked  : 1
wicked things  : 1
things of  : 3
the young  : 97
young queen  : 1
queen .  : 17
who knows  : 7
knows who  : 2
who this  : 1
this girl  : 1
girl is  : 4
is ?  : 2
said ;  : 14
` she  : 18
she can  : 4
speak ,  : 11
not worthy  : 3
worthy of  : 4
phi after  : 74
after a  : 56
a year  : 22
year ,  : 22
, when  : 193
her first  : 2
first child  : 1
child ,  : 31
old mother  : 12
mother took  : 1
took it  : 14
king and  : 36
said that  : 40
had killed  : 3
killed it  : 1
king would  : 5
and would  : 16
not allow  : 4
allow any  : 1
any harm  : 3
harm to  : 5
be done  : 11
done her  : 4
sat quietly  : 1
quietly sewing  : 1
sewing at  : 2
the shirts  : 3
and troubling  : 1
troubling herself  : 1
herself about  : 1
about nothing  : 1
next time  : 4
time she  : 22
a child  : 20
child the  : 1
mother did  : 3
did the  : 20
same thing  : 25
thing ,  : 18
king could  : 3
not make  : 7
make up  : 11
up his  : 42
his mind  : 27
mind to  : 17
to believe  : 7
believe her  : 2
she is  : 42
is too  : 12
too sweet  : 1
sweet and  : 4
and good  : 12
do such  : 3
such a  : 120
a thing  : 25
thing as  : 8
as that  : 14
that .  : 55
not dumb  : 1
dumb and  : 2
and could  : 12
could defend  : 1
defend herself  : 1
her innocence  : 1
innocence would  : 1
would be  : 121
be proved  : 1
proved .  : 1
child was  : 4
was taken  : 8
taken away  : 1
away ,  : 70
was again  : 2
again accused  : 1
accused ,  : 1
not utter  : 1
utter a  : 2
word in  : 4
in her  : 159
her own  : 49
own defence  : 1
defence ,  : 1
was obliged  : 8
obliged to  : 11
to give  : 38
give her  : 9
her over  : 2
over to  : 35
the law  : 31
law ,  : 5
which decreed  : 1
decreed that  : 1
she must  : 26
must be  : 99
be burnt  : 1
burnt to  : 3
to death  : 27
death .  : 32
day came  : 5
the sentence  : 3
sentence was  : 2
was to  : 86
be executed  : 3
executed ,  : 4
the last  : 55
last day  : 1
day of  : 11
years in  : 7
in which  : 49
now she  : 13
had freed  : 4
freed her  : 2
her dear  : 3
dear brothers  : 1
brothers from  : 2
from the  : 301
the power  : 16
power of  : 16
the enchantment  : 1
enchantment .  : 1
shirts were  : 1
were done  : 4
done ;  : 2
; there  : 11
was only  : 38
only the  : 25
the left  : 7
left sleeve  : 1
sleeve wanting  : 1
wanting to  : 1
last .  : 20
was led  : 2
led to  : 3
the stake  : 4
stake ,  : 2
she laid  : 5
laid the  : 8
shirts on  : 1
on her  : 81
her arm  : 10
arm ,  : 10
she stood  : 10
the pile  : 1
pile and  : 1
fire was  : 5
was about  : 18
about to  : 20
be lighted  : 1
lighted ,  : 2
she looked  : 33
looked around  : 1
around her  : 9
flying through  : 4
the air  : 103
air .  : 21
knew that  : 75
that her  : 35
her release  : 1
release was  : 1
was at  : 25
at hand  : 5
hand and  : 16
her heart  : 26
heart danced  : 1
danced for  : 1
for joy  : 5
joy .  : 11
the swans  : 1
swans fluttered  : 1
fluttered round  : 2
round her  : 21
and hovered  : 2
hovered low  : 1
low so  : 1
so that  : 108
could throw  : 1
throw the  : 4
shirts over  : 1
over them  : 12
touched them  : 1
the swan-skins  : 1
swan-skins fell  : 1
fell off  : 3
brothers stood  : 1
stood before  : 8
before her  : 17
her living  : 2
living ,  : 4
, well  : 17
and beautiful  : 15
beautiful .  : 9
phi only  : 21
the youngest  : 13
youngest had  : 1
a swan  : 1
swan 's  : 1
's wing  : 1
wing instead  : 1
instead of  : 40
his left  : 5
left arm  : 1
arm .  : 7
they embraced  : 1
embraced and  : 1
and kissed  : 10
kissed each  : 1
each other  : 49
other ,  : 43
was standing  : 13
standing by  : 3
by in  : 3
in great  : 11
great astonishment  : 1
astonishment ,  : 4
to speak  : 40
to him  : 171
, saying  : 40
saying ,  : 34
` dearest  : 2
dearest husband  : 1
husband ,  : 12
, now  : 21
can speak  : 4
speak and  : 1
and tell  : 14
you openly  : 2
openly that  : 1
that i  : 136
i am  : 252
am innocent  : 1
innocent and  : 1
and have  : 28
been falsely  : 1
falsely accused  : 1
accused .  : 1
him of  : 13
woman 's  : 13
's deceit  : 1
deceit ,  : 1
and how  : 43
how she  : 22
had taken  : 21
taken the  : 6
the three  : 29
three children  : 4
children away  : 1
and hidden  : 1
hidden them  : 4
then they  : 44
were fetched  : 1
fetched ,  : 1
, to  : 140
great joy  : 3
joy of  : 6
mother came  : 4
no good  : 9
good end  : 2
end .  : 13
queen with  : 1
with their  : 24
their six  : 1
six brothers  : 1
brothers lived  : 1
lived many  : 1
many years  : 16
in happiness  : 2
happiness and  : 5
and peace  : 4
peace .  : 9
the dragon  : 35
dragon of  : 3
the north  : 11
north -lrb-  : 1
-lrb- 2  : 2
2 -rrb-  : 2
-rrb- -lrb-  : 28
-rrb- `  : 5
` der  : 1
der norlands  : 1
norlands drache  : 1
drache ,  : 1
' from  : 4
from esthnische  : 1
esthnische mahrchen  : 1
mahrchen .  : 3
phi kreutzwald  : 1
kreutzwald .  : 1
phi very  : 9
very long  : 6
long ago  : 19
ago ,  : 17
as old  : 7
old people  : 5
people have  : 3
have told  : 11
told me  : 15
me ,  : 144
, there  : 60
there lived  : 14
lived a  : 9
a terrible  : 12
terrible monster  : 2
monster ,  : 2
who came  : 5
came out  : 31
north ,  : 2
and laid  : 10
laid waste  : 1
waste whole  : 1
whole tracts  : 1
tracts of  : 1
of country  : 3
country ,  : 12
, devouring  : 1
devouring both  : 1
both men  : 2
men and  : 13
and beasts  : 4
beasts ;  : 1
; and  : 251
and this  : 42
this monster  : 2
monster was  : 2
so destructive  : 1
destructive that  : 1
that it  : 149
was feared  : 1
feared that  : 1
that unless  : 5
unless help  : 1
help came  : 1
came no  : 2
no living  : 2
living creature  : 3
creature would  : 1
be left  : 5
left on  : 2
the face  : 16
face of  : 7
the earth  : 44
earth .  : 16
a body  : 4
body like  : 1
like an  : 11
an ox  : 1
ox ,  : 3
and legs  : 5
legs like  : 2
a frog  : 7
frog ,  : 11
, two  : 9
two short  : 1
short fore-legs  : 1
fore-legs ,  : 1
and two  : 14
two long  : 2
long ones  : 1
ones behind  : 1
behind ,  : 6
and besides  : 5
besides that  : 1
a tail  : 2
tail like  : 3
a serpent  : 7
serpent ,  : 6
, ten  : 3
ten fathoms  : 3
fathoms in  : 2
in length  : 2
length .  : 4
it moved  : 1
moved it  : 1
it jumped  : 1
jumped like  : 2
and with  : 34
with every  : 4
every spring  : 2
spring it  : 1
it covered  : 1
covered half  : 1
half a  : 25
a mile  : 20
mile of  : 2
of ground  : 3
ground .  : 21
phi fortunately  : 4
fortunately its  : 1
its habit  : 1
habit ,  : 2
, was  : 74
to remain  : 9
remain for  : 2
for several  : 3
several years  : 3
same place  : 3
and not  : 34
not to  : 77
to move  : 12
move on  : 2
on till  : 9
till the  : 34
the whole  : 107
whole neighbourhood  : 3
neighbourhood was  : 1
was eaten  : 2
eaten up  : 5
phi nothing  : 7
nothing could  : 3
could hunt  : 1
hunt it  : 2
because its  : 1
its whole  : 1
whole body  : 3
body was  : 5
was covered  : 5
covered with  : 21
with scales  : 1
scales ,  : 1
which were  : 12
were harder  : 1
harder than  : 6
than stone  : 1
stone or  : 1
or metal  : 1
metal ;  : 1
; its  : 1
its two  : 1
two great  : 2
great eyes  : 2
eyes shone  : 1
shone by  : 1
by night  : 7
night ,  : 71
and even  : 19
even by  : 1
by day  : 5
, like  : 24
like the  : 59
the brightest  : 5
brightest lamps  : 1
lamps ,  : 1
and anyone  : 2
anyone who  : 9
who had  : 135
had the  : 28
the ill  : 2
ill luck  : 1
luck to  : 3
look into  : 2
into those  : 2
those eyes  : 3
eyes became  : 1
became as  : 1
it were  : 29
were bewitched  : 1
bewitched ,  : 1
to rush  : 1
rush of  : 4
his own  : 82
own accord  : 2
accord into  : 1
the monster  : 13
monster 's  : 3
's jaws  : 3
jaws .  : 1
phi in  : 184
in this  : 65
this way  : 34
way the  : 5
dragon was  : 3
was able  : 6
able to  : 60
to feed  : 3
feed upon  : 1
upon both  : 1
beasts without  : 1
without the  : 8
the least  : 29
least trouble  : 1
to itself  : 6
itself ,  : 13
it needed  : 2
needed not  : 1
move from  : 2
the spot  : 23
spot where  : 8
was lying  : 16
lying .  : 2
phi all  : 70
the neighbouring  : 8
neighbouring kings  : 2
kings had  : 2
had offered  : 1
offered rich  : 1
rich rewards  : 1
rewards to  : 1
to anyone  : 7
who should  : 2
should be  : 36
be able  : 37
to destroy  : 4
destroy the  : 1
, either  : 5
either by  : 2
by force  : 3
force or  : 2
or enchantment  : 1
enchantment ,  : 3
and many  : 5
many had  : 1
had tried  : 6
tried their  : 1
their luck  : 4
luck ,  : 6
but all  : 17
all had  : 2
had miserably  : 1
miserably failed  : 1
failed .  : 2
phi once  : 29
once a  : 16
great forest  : 3
forest in  : 2
dragon lay  : 1
lay had  : 1
had been  : 273
been set  : 4
set on  : 5
on fire  : 1
fire ;  : 1
; the  : 56
forest was  : 4
was burnt  : 1
burnt down  : 1
fire did  : 1
not do  : 13
do the  : 7
monster the  : 2
least harm  : 1
phi however  : 22
a tradition  : 1
tradition amongst  : 1
amongst the  : 1
the wise  : 8
wise men  : 1
men of  : 3
country that  : 2
dragon might  : 1
might be  : 26
be overcome  : 2
overcome by  : 6
by one  : 7
one who  : 15
who possessed  : 1
possessed king  : 1
king solomon  : 5
solomon 's  : 6
's signet-ring  : 1
signet-ring ,  : 1
, upon  : 6
upon which  : 7
which a  : 4
secret writing  : 1
writing was  : 2
was engraved  : 1
engraved .  : 1
this inscription  : 1
inscription would  : 1
would enable  : 1
enable anyone  : 1
was wise  : 2
wise enough  : 1
to interpret  : 2
interpret it  : 1
it to  : 60
find out  : 27
out how  : 2
how the  : 21
dragon could  : 1
be destroyed  : 1
destroyed .  : 1
only no  : 2
one knew  : 6
knew where  : 9
the ring  : 43
ring was  : 10
was hidden  : 2
, nor  : 14
nor was  : 2
was there  : 23
there any  : 5
any sorcerer  : 1
sorcerer or  : 1
or learned  : 1
learned man  : 1
man to  : 9
be found  : 17
found who  : 2
who would  : 9
to explain  : 10
explain the  : 4
the inscription  : 2
inscription .  : 1
last a  : 6
a young  : 29
young man  : 64
man ,  : 59
, with  : 233
good heart  : 3
heart and  : 14
and plenty  : 3
plenty of  : 16
of courage  : 1
courage ,  : 7
, set  : 4
set out  : 35
out to  : 71
to search  : 4
search for  : 5
ring .  : 16
he took  : 47
took his  : 10
his way  : 36
way towards  : 2
towards the  : 25
the sunrising  : 1
sunrising ,  : 1
that all  : 28
the wisdom  : 3
wisdom of  : 2
of old  : 18
old time  : 1
time comes  : 5
comes from  : 2
the east  : 3
east .  : 1
some years  : 8
years he  : 5
he met  : 29
met with  : 8
a famous  : 1
famous eastern  : 1
eastern magician  : 3
magician ,  : 5
and asked  : 52
asked for  : 8
for his  : 58
his advice  : 2
advice in  : 2
the matter  : 24
matter .  : 15
the magician  : 18
magician answered  : 2
answered :  : 7
: `  : 186
` mortal  : 1
mortal men  : 2
men have  : 4
have but  : 3
but little  : 6
little wisdom  : 1
wisdom ,  : 1
and can  : 7
can give  : 7
give you  : 39
no help  : 4
help ,  : 8
the birds  : 31
birds of  : 7
air would  : 1
better guides  : 1
guides to  : 1
you if  : 5
you could  : 40
could learn  : 1
learn their  : 1
their language  : 2
language .  : 2
can help  : 3
help you  : 14
you to  : 61
to understand  : 14
understand it  : 3
it if  : 2
will stay  : 5
stay with  : 11
with me  : 51
me a  : 20
a few  : 74
few days  : 12
days .  : 17
the youth  : 75
youth thankfully  : 1
thankfully accepted  : 1
accepted the  : 2
magician 's  : 3
's offer  : 2
offer ,  : 5
not now  : 3
now offer  : 1
offer you  : 2
any reward  : 1
reward for  : 3
for your  : 27
your kindness  : 5
kindness ,  : 4
but should  : 2
should my  : 1
my undertaking  : 1
undertaking succeed  : 1
succeed your  : 1
your trouble  : 3
trouble shall  : 1
shall be  : 51
be richly  : 1
richly repaid  : 1
repaid .  : 1
magician brewed  : 1
brewed a  : 1
a powerful  : 3
powerful potion  : 1
potion out  : 1
of nine  : 1
nine sorts  : 1
sorts of  : 11
of herbs  : 1
herbs which  : 1
which he  : 70
had gathered  : 2
gathered himself  : 1
himself all  : 2
alone by  : 3
by moonlight  : 1
moonlight ,  : 6
he gave  : 26
gave the  : 22
youth nine  : 1
nine spoonfuls  : 1
spoonfuls of  : 1
it daily  : 1
daily for  : 1
for three  : 18
three days  : 11
days ,  : 18
which made  : 6
made him  : 20
him able  : 1
understand the  : 5
the language  : 2
language of  : 2
of birds  : 6
birds .  : 5
at parting  : 1
parting the  : 1
magician said  : 2
` if  : 61
you ever  : 22
ever find  : 1
find solomon  : 1
's ring  : 4
ring and  : 5
and get  : 17
get possession  : 2
possession of  : 10
then come  : 4
come back  : 44
back to  : 133
i may  : 22
may explain  : 1
inscription on  : 1
ring to  : 3
for there  : 12
there is  : 103
one else  : 10
else in  : 6
world who  : 1
who can  : 14
can do  : 27
do this  : 7
this .  : 24
from that  : 14
time the  : 29
youth never  : 1
never felt  : 6
felt lonely  : 1
lonely as  : 1
he walked  : 11
walked along  : 3
along ;  : 2
; he  : 52
he always  : 13
always had  : 4
had company  : 1
company ,  : 5
he understood  : 6
understood the  : 2
birds ;  : 2
and in  : 122
way he  : 9
he learned  : 3
learned many  : 1
many things  : 11
things which  : 4
which mere  : 1
mere human  : 1
human knowledge  : 1
knowledge could  : 1
could never  : 13
never have  : 22
have taught  : 3
taught him  : 7
but time  : 1
time went  : 6
went on  : 112
on ,  : 87
he heard  : 58
heard nothing  : 5
nothing about  : 3
about the  : 77
happened one  : 4
one evening  : 9
evening ,  : 26
was hot  : 4
hot and  : 3
and tired  : 4
tired with  : 3
with walking  : 1
walking ,  : 1
had sat  : 7
sat down  : 43
down under  : 8
under a  : 17
tree in  : 6
a forest  : 5
forest to  : 3
to eat  : 58
eat his  : 3
his supper  : 5
supper ,  : 5
saw two  : 4
two gaily-plumaged  : 1
gaily-plumaged birds  : 1
birds ,  : 6
that were  : 17
were strange  : 1
strange to  : 3
, sitting  : 14
sitting at  : 9
top of  : 43
tree talking  : 1
talking to  : 15
to one  : 16
another about  : 1
about him  : 26
the first  : 133
first bird  : 5
bird said  : 3
said :  : 58
: '  : 29
know that  : 53
that wandering  : 1
wandering fool  : 1
fool under  : 1
tree there  : 2
who has  : 20
has come  : 6
come so  : 1
so far  : 21
far without  : 1
without finding  : 3
finding what  : 1
he seeks  : 1
seeks .  : 1
he is  : 125
is trying  : 1
trying to  : 41
find king  : 1
's lost  : 1
lost ring  : 1
the other  : 192
other bird  : 2
bird answered  : 1
he will  : 56
will have  : 17
have to  : 56
to seek  : 9
seek help  : 2
help from  : 2
the witch-maiden  : 7
witch-maiden ,  : 1
, -lrb-  : 15
-lrb- 3  : 2
3 -rrb-  : 2
-rrb- who  : 1
who will  : 8
will doubtless  : 1
doubtless be  : 1
put him  : 16
the right  : 30
right track  : 1
track .  : 1
not got  : 3
got the  : 13
ring herself  : 1
she knows  : 4
knows well  : 1
well enough  : 9
enough who  : 1
has it  : 3
phi -lrb-  : 36
-rrb- hollenmadchen  : 1
hollenmadchen .  : 1
but where  : 6
where is  : 12
is he  : 4
he to  : 3
find the  : 12
witch-maiden ?  : 2
bird .  : 9
has no  : 13
no settled  : 1
settled dwelling  : 1
dwelling ,  : 4
but is  : 2
is here  : 3
here to-day  : 2
to-day and  : 1
and gone  : 4
gone to-morrow  : 1
to-morrow .  : 4
he might  : 33
might as  : 14
as well  : 75
well try  : 2
try to  : 18
to catch  : 12
catch the  : 7
the wind  : 44
wind .  : 6
other replied  : 1
know ,  : 61
where she  : 34
is at  : 5
at present  : 7
present ,  : 11
but in  : 35
in three  : 4
three nights  : 5
nights from  : 2
from now  : 1
she will  : 15
will come  : 29
come to  : 84
the spring  : 22
spring to  : 4
to wash  : 3
wash her  : 2
her face  : 43
face ,  : 30
she does  : 8
does every  : 1
every month  : 1
month when  : 1
the moon  : 28
moon is  : 5
is full  : 5
full ,  : 6
, in  : 126
in order  : 30
order that  : 9
she may  : 2
may never  : 2
never grow  : 1
grow old  : 1
old nor  : 1
nor wrinkled  : 1
wrinkled ,  : 1
but may  : 1
may always  : 1
always keep  : 2
keep the  : 17
the bloom  : 1
bloom of  : 1
of youth  : 1
youth .  : 7
` well  : 46
bird ,  : 23
spring is  : 2
not far  : 6
far from  : 9
from here  : 9
here .  : 49
phi shall  : 6
shall we  : 12
we go  : 8
and see  : 33
see how  : 25
